auroc,auprc,fold,n_valid
0.5921759828009827,0.5664431050896296,0,324
0.5414830841856806,0.5245720773342057,1,319
0.6015830574654103,0.6003389799602177,2,307
0.6097969791705903,0.4890814053997972,3,330
0.5600276567214214,0.5328659459292535,4,309
